Node 0 : (24,105)	Node 1 : (83,50)	Node 2 : (168,93)
Node 3 : (74,127)	Node 4 : (119,74)	Node 5 : (102,56)
Node 6 : (15,129)	Node 7 : (110,27)	Node 8 : (178,64)
Node 9 : (95,119)	Node 10 : (182,81)	Node 11 : (35,95)
Node 12 : (56,33)	Node 13 : (26,144)	Node 14 : (196,147)
Node 15 : (93,17)	Node 16 : (131,17)	Node 17 : (114,142)
Node 18 : (141,30)	Node 19 : (72,57)	Node 20 : (174,155)
Node 21 : (124,166)	Node 22 : (109,69)	Node 23 : (141,56)
Node 24 : (103,71)	Node 25 : (170,117)	Node 26 : (11,66)
Node 27 : (36,52)	Node 28 : (126,157)	Node 29 : (150,22)
Node 30 : (86,98)	Node 31 : (64,136)	Node 32 : (156,86)
Node 33 : (90,91)	Node 34 : (43,196)	Node 35 : (110,94)
Node 36 : (93,0)	Node 37 : (118,105)	Node 38 : (180,35)
Node 39 : (149,46)	Node 40 : (181,56)	Node 41 : (33,182)
Node 42 : (65,97)	Node 43 : (134,38)	Node 44 : (142,23)
Node 45 : (198,180)	Node 46 : (155,124)	Node 47 : (156,9)
Node 48 : (136,46)	Node 49 : (185,53)	Node 50 : (155,115)
Node 51 : (101,82)	Node 52 : (143,4)	Node 53 : (175,126)
Node 54 : (143,175)	Node 55 : (8,152)	Node 56 : (33,93)
Node 57 : (81,134)	Node 58 : (173,100)	Node 59 : (197,89)
Node 60 : (156,50)	Node 61 : (121,158)	Node 62 : (174,55)
Node 63 : (87,161)	Node 64 : (76,197)	Node 65 : (34,24)
Node 66 : (108,111)	Node 67 : (76,153)	Node 68 : (170,51)
Node 69 : (43,65)	Node 70 : (91,125)	Node 71 : (43,130)
